Year,Month,Airline Code,Airline,Total Noise Exceedances,Total Operations per Month,Exceedances per 1000 Operations,Noise Exceedance Quality Rating Score,Noise Exceedance Rating
2006,January,EJA,NETJETS AVIATION,1,637,2,9.99,9.99
2006,January,SKW,SKYWEST,15,6752,2,9.99,9.99
2006,January,USA,US AIRWAYS,2,388,5,9.97,9.97
2006,January,QXE,HORIZON AIR,1,168,6,9.97,9.97
2006,January,DLH,LUFTHANSA,1,108,9,9.95,9.95
2006,January,FFT,FRONTIER AIRLINES,3,289,10,9.95,9.95
2006,January,AWE,US AIRWAYS,10,731,14,9.93,9.93
2006,January,TRS,AIRTRAN AIRWAYS,1,67,15,9.92,9.92
2006,January,AFR,AIR FRANCE,1,62,16,9.92,9.92
2006,January,HAL,HAWAIIAN AIRLINES,1,62,16,9.92,9.92
2006,January,VIR,VIRGIN ATLANTIC,1,62,16,9.92,9.92
2006,January,COA,CONTINENTAL AIR LINES,13,709,18,9.91,9.91
2006,January,ACA,AIR CANADA,8,386,21,9.89,9.89
2006,January,ASA,ALASKA AIRLINES,30,1204,25,9.87,9.87
2006,January,DAL,DELTA AIRLINES,25,905,28,9.86,9.86
2006,January,TAI,TACA INTERNATIONAL AIRLINES,3,94,32,9.84,9.84
2006,January,ANA,ALL NIPPON AIRWAYS,2,62,32,9.84,9.84
2006,January,BAW,BRITISH AIRWAYS,4,124,32,9.84,9.84
2006,January,AAL,AMERICAN AIRLINES,65,1986,33,9.83,9.83
2006,January,UAL,UNITED AIRLINES,305,8489,36,9.82,9.82
2006,January,NWA,NORTHWEST AIRLINES,22,605,36,9.81,9.81
2006,January,MXA,MEXICANA,6,147,41,9.79,9.79
2006,January,DHL,DHL,8,83,96,9.51,9.51
2006,January,ABX,AIRBORNE EXPRESS,10,93,108,9.45,9.45
2006,January,AMT,AMERICAN TRANS AIR,35,270,130,9.34,9.34
2006,January,SCX,SUN COUNTRY,8,59,136,9.31,9.31
2006,January,JAL,JAPAN AIRLINES,21,136,154,9.21,9.21
2006,January,FDX,FEDERAL EXPRESS,27,142,190,9.03,9.03
2006,January,NCA,NIPPON CARGO AIRLINES,21,85,247,8.74,8.74
2006,January,CCA,AIR CHINA,8,28,286,8.54,8.54
2006,January,AAR,ASIANA AIRLINES,19,55,345,8.24,8.24
2006,January,PAL,PHILIPPINE AIRLINES,33,70,471,7.59,7.59
2006,January,CLX,CARGOLUX,8,14,571,7.08,7.08
2006,January,KAL,KOREAN AIR,66,110,600,6.94,6.94
2006,January,SIA,SINGAPORE AIRLINES,125,124,1008,4.86,4.86
2006,January,CKS,KALITTA AIR,24,22,1091,4.43,4.43
2006,January,TDX,TRADEWINDS INTERNATIONAL AIRLINES,9,8,1125,4.26,4.26
2006,January,EVA,EVA AIRWAYS,133,102,1304,3.35,3.35
2006,January,CAL,CHINA AIRLINES,152,110,1382,2.95,2.95
2006,January,CPA,CATHAY PACIFIC AIRWAYS,154,92,1674,1.46,1.46
2006,January,CKK,CHINA CARGO AIRLINES,49,25,1960,0,0.00
2006,February,SKW,SKYWEST,23,6222,4,9.98,9.98
2006,February,EJA,NETJETS AVIATION,3,532,6,9.97,9.97
2006,February,EGF,AMERICAN AIRLINES EAGLE,2,269,7,9.96,9.96
2006,February,FFT,FRONTIER AIRLINES,2,264,8,9.96,9.96
2006,February,BAW,BRITISH AIRWAYS,1,111,9,9.95,9.95
2006,February,AWE,US AIRWAYS,7,655,11,9.94,9.94
2006,February,QXE,HORIZON AIR,2,155,13,9.93,9.93
2006,February,ACA,AIR CANADA,6,343,17,9.91,9.91
2006,February,COA,CONTINENTAL AIR LINES,11,627,18,9.91,9.91
2006,February,ANA,ALL NIPPON AIRWAYS,1,56,18,9.9,9.90
2006,February,ASH,MESA AVIATION SERVICES,1,56,18,9.9,9.90
2006,February,VIR,VIRGIN ATLANTIC,1,56,18,9.9,9.90
2006,February,AFR,AIR FRANCE,1,55,18,9.9,9.90
2006,February,TRS,AIRTRAN AIRWAYS,1,55,18,9.9,9.90
2006,February,KLM,KLM ROYAL DUTCH AIRLINES,1,52,19,9.9,9.90
2006,February,DLH,LUFTHANSA,2,96,21,9.89,9.89
2006,February,ASA,ALASKA AIRLINES,29,1096,26,9.86,9.86
2006,February,NWA,NORTHWEST AIRLINES,15,547,27,9.85,9.85
2006,February,USA,US AIRWAYS,10,364,27,9.85,9.85
2006,February,MXA,MEXICANA,4,140,29,9.85,9.85
2006,February,AAL,AMERICAN AIRLINES,52,1736,30,9.84,9.84
2006,February,DAL,DELTA AIRLINES,30,877,34,9.82,9.82
2006,February,SCX,SUN COUNTRY,2,57,35,9.81,9.81
2006,February,UAL,UNITED AIRLINES,317,7678,41,9.78,9.78
2006,February,DHL,DHL,5,78,64,9.66,9.66
2006,February,CCA,AIR CHINA,2,28,71,9.62,9.62
2006,February,ELJ,DELTA AIR ELITE BUSINESS JETS,1,10,100,9.46,9.46
2006,February,AMT,AMERICAN TRANS AIR,30,223,135,9.28,9.28
2006,February,ABX,AIRBORNE EXPRESS,14,90,156,9.17,9.17
2006,February,TAI,TACA INTERNATIONAL AIRLINES,11,65,169,9.09,9.09
2006,February,JAL,JAPAN AIRLINES,23,132,174,9.06,9.06
2006,February,FDX,FEDERAL EXPRESS,35,136,257,8.62,8.62
2006,February,AAR,ASIANA AIRLINES,13,45,289,8.45,8.45
2006,February,NCA,NIPPON CARGO AIRLINES,31,88,352,8.11,8.11
2006,February,KAL,KOREAN AIR,50,96,521,7.2,7.20
2006,February,PAL,PHILIPPINE AIRLINES,36,64,563,6.98,6.98
2006,February,CLX,CARGOLUX,11,15,733,6.06,6.06
2006,February,CKS,KALITTA AIR,19,22,864,5.36,5.36
2006,February,CKK,CHINA CARGO AIRLINES,16,18,889,5.23,5.23
2006,February,SIA,SINGAPORE AIRLINES,111,112,991,4.68,4.68
2006,February,EVA,EVA AIRWAYS,121,96,1260,3.23,3.23
2006,February,TDX,TRADEWINDS INTERNATIONAL AIRLINES,17,13,1308,2.98,2.98
2006,February,CAL,CHINA AIRLINES,138,100,1380,2.59,2.59
2006,February,CPA,CATHAY PACIFIC AIRWAYS,149,80,1863,0,0.00
2006,March,SKW,SKYWEST,18,6930,3,9.98,9.98
2006,March,TAG,TAG AVIATION,1,123,8,9.93,9.93
2006,March,QXE,HORIZON AIR,2,176,11,9.91,9.91
2006,March,AWE,US AIRWAYS,10,706,14,9.89,9.89
2006,March,USA,US AIRWAYS,6,419,14,9.89,9.89
2006,March,ASA,ALASKA AIRLINES,19,1225,16,9.88,9.88
2006,March,ACA,AIR CANADA,7,434,16,9.87,9.87
2006,March,BAW,BRITISH AIRWAYS,2,124,16,9.87,9.87
2006,March,KHA,KITTY HAWK AIRCARGO,1,55,18,9.85,9.85
2006,March,DHL,DHL,1,44,23,9.82,9.82
2006,March,COA,CONTINENTAL AIR LINES,18,752,24,9.81,9.81
2006,March,DAL,DELTA AIRLINES,28,1035,27,9.78,9.78
2006,March,FFT,FRONTIER AIRLINES,9,288,31,9.75,9.75
2006,March,MXA,MEXICANA,5,152,33,9.74,9.74
2006,March,UAL,UNITED AIRLINES,290,8573,34,9.73,9.73
2006,March,NWA,NORTHWEST AIRLINES,24,614,39,9.69,9.69
2006,March,AAL,AMERICAN AIRLINES,93,1959,47,9.62,9.62
2006,March,SCX,SUN COUNTRY,5,61,82,9.34,9.34
2006,March,DDA,D & D AVIATION,1,10,100,9.2,9.20
2006,March,JAL,JAPAN AIRLINES,18,160,113,9.1,9.10
2006,March,TAI,TACA INTERNATIONAL AIRLINES,9,69,130,8.96,8.96
2006,March,ABX,AIRBORNE EXPRESS,19,144,132,8.94,8.94
2006,March,AMT,AMERICAN TRANS AIR,35,251,139,8.88,8.88
2006,March,FDX,FEDERAL EXPRESS,31,157,197,8.42,8.42
2006,March,NCA,NIPPON CARGO AIRLINES,21,94,223,8.21,8.21
2006,March,AAR,ASIANA AIRLINES,13,50,260,7.92,7.92
2006,March,CLX,CARGOLUX,6,20,300,7.6,7.60
2006,March,CKK,CHINA CARGO AIRLINES,13,38,342,7.26,7.26
2006,March,PAL,PHILIPPINE AIRLINES,29,72,403,6.78,6.78
2006,March,KAL,KOREAN AIR,52,105,495,6.04,6.04
2006,March,CCP,CHAMPION AIR,3,6,500,6,6.00
2006,March,CKS,KALITTA AIR,19,28,679,4.57,4.57
2006,March,SIA,SINGAPORE AIRLINES,92,124,742,4.06,4.06
2006,March,TDX,TRADEWINDS INTERNATIONAL AIRLINES,9,12,750,4,4.00
2006,March,EVA,EVA AIRWAYS,96,105,914,2.69,2.69
2006,March,CAL,CHINA AIRLINES,108,118,915,2.68,2.68
2006,March,CPA,CATHAY PACIFIC AIRWAYS,120,96,1250,0,0.00
2006,March,QFA,QANTAS AIRWAYS,5,4,1250,0,0.00
2006,April,SKW,SKYWEST,12,6663,2,9.99,9.99
2006,April,EGF,AMERICAN AIRLINES EAGLE,1,279,4,9.98,9.98
2006,April,BAW,BRITISH AIRWAYS,1,120,8,9.96,9.96
2006,April,AWE,US AIRWAYS,6,695,9,9.96,9.96
2006,April,TAG,TAG AVIATION,1,110,9,9.95,9.95
2006,April,LXJ,FLEXJET,1,94,11,9.94,9.94
2006,April,ACA,AIR CANADA,5,422,12,9.94,9.94
2006,April,TRS,AIRTRAN AIRWAYS,2,120,17,9.91,9.91
2006,April,ANA,ALL NIPPON AIRWAYS,1,60,17,9.91,9.91
2006,April,KLM,KLM ROYAL DUTCH AIRLINES,1,60,17,9.91,9.91
2006,April,MEP,MIDWEST AIRLINES,1,60,17,9.91,9.91
2006,April,USA,US AIRWAYS,7,400,18,9.91,9.91
2006,April,FFT,FRONTIER AIRLINES,5,285,18,9.91,9.91
2006,April,ASA,ALASKA AIRLINES,21,1171,18,9.91,9.91
2006,April,MXA,MEXICANA,4,148,27,9.86,9.86
2006,April,COA,CONTINENTAL AIR LINES,20,723,28,9.86,9.86
2006,April,AAL,AMERICAN AIRLINES,70,2143,33,9.83,9.83
2006,April,UAL,UNITED AIRLINES,294,8536,34,9.82,9.82
2006,April,AFR,AIR FRANCE,2,58,34,9.82,9.82
2006,April,NWA,NORTHWEST AIRLINES,23,651,35,9.82,9.82
2006,April,DAL,DELTA AIRLINES,41,1053,39,9.8,9.80
2006,April,ABX,AIRBORNE EXPRESS,13,134,97,9.5,9.50
2006,April,SCX,SUN COUNTRY,7,58,121,9.37,9.37
2006,April,AMT,AMERICAN TRANS AIR,28,208,135,9.3,9.30
2006,April,JAL,JAPAN AIRLINES,24,142,169,9.12,9.12
2006,April,TAI,TACA INTERNATIONAL AIRLINES,13,68,191,9.01,9.01
2006,April,DLH,LUFTHANSA,23,119,193,8.99,8.99
2006,April,DHL,DHL,8,39,205,8.93,8.93
2006,April,OAE,OMNI AIR EXPRESS,1,4,250,8.7,8.70
2006,April,FDX,FEDERAL EXPRESS,40,149,268,8.6,8.60
2006,April,NCA,NIPPON CARGO AIRLINES,25,80,313,8.37,8.37
2006,April,AAR,ASIANA AIRLINES,25,52,481,7.5,7.50
2006,April,CLX,CARGOLUX,8,16,500,7.4,7.40
2006,April,DDA,D & D AVIATION,3,6,500,7.4,7.40
2006,April,JUS,USA JET AIRLINES,1,2,500,7.4,7.40
2006,April,KAL,KOREAN AIR,61,104,587,6.95,6.95
2006,April,CKS,KALITTA AIR,19,28,679,6.47,6.47
2006,April,CAL,CHINA AIRLINES,103,113,912,5.26,5.26
2006,April,CKK,CHINA CARGO AIRLINES,34,36,944,5.09,5.09
2006,April,SIA,SINGAPORE AIRLINES,115,120,958,5.02,5.02
2006,April,EVA,EVA AIRWAYS,98,96,1021,4.69,4.69
2006,April,TDX,TRADEWINDS INTERNATIONAL AIRLINES,14,11,1273,3.38,3.38
2006,April,PAL,PHILIPPINE AIRLINES,112,74,1514,2.13,2.13
2006,April,CPA,CATHAY PACIFIC AIRWAYS,146,85,1718,1.07,1.07
2006,April,QFA,QANTAS AIRWAYS,50,26,1923,0,-0.00
2006,May,EJA,NETJETS AVIATION,1,531,2,9.99,9.99
2006,May,SKW,SKYWEST,24,6989,3,9.98,9.98
2006,May,TRS,AIRTRAN AIRWAYS,1,124,8,9.96,9.96
2006,May,OPT,FLIGHT OPTIONS,1,122,8,9.96,9.96
2006,May,LXJ,FLEXJET,1,89,11,9.95,9.95
2006,May,ACA,AIR CANADA,7,479,15,9.93,9.93
2006,May,AFR,AIR FRANCE,1,62,16,9.93,9.93
2006,May,FFT,FRONTIER AIRLINES,5,351,14,9.93,9.93
2006,May,KLM,KLM ROYAL DUTCH AIRLINES,1,62,16,9.93,9.93
2006,May,ASH,MESA AVIATION SERVICES,1,68,15,9.93,9.93
2006,May,USA,US AIRWAYS,9,565,16,9.93,9.93
2006,May,FIV,CITATIONSHARES,1,56,18,9.92,9.92
2006,May,AWE,US AIRWAYS,12,739,16,9.92,9.92
2006,May,TWY,SUNSET AVIATION,1,46,22,9.9,9.90
2006,May,CCA,AIR CHINA,1,42,24,9.89,9.89
2006,May,ASA,ALASKA AIRLINES,32,1174,27,9.87,9.87
2006,May,DAL,DELTA AIRLINES,32,1048,31,9.86,9.86
2006,May,COA,CONTINENTAL AIR LINES,25,747,33,9.84,9.84
2006,May,QXE,HORIZON AIR,6,175,34,9.84,9.84
2006,May,NWA,NORTHWEST AIRLINES,25,699,36,9.83,9.83
2006,May,UAL,UNITED AIRLINES,318,8706,37,9.83,9.83
2006,May,MXA,MEXICANA,6,151,40,9.82,9.82
2006,May,AAL,AMERICAN AIRLINES,117,2257,52,9.76,9.76
2006,May,KHA,KITTY HAWK AIRCARGO,4,63,63,9.71,9.71
2006,May,EJM,EXECUTIVE JET MANAGEMENT,2,29,69,9.68,9.68
2006,May,NKS,SPIRIT AIRLINES,1,14,71,9.67,9.67
2006,May,SCX,SUN COUNTRY,5,64,78,9.64,9.64
2006,May,ABX,AIRBORNE EXPRESS,13,140,93,9.57,9.57
2006,May,TAI,TACA INTERNATIONAL AIRLINES,7,68,103,9.52,9.52
2006,May,DLH,LUFTHANSA,24,124,194,9.1,9.10
2006,May,CLY,CLAY LACY AVIATION,1,4,250,8.84,8.84
2006,May,DHL,DHL,11,41,268,8.75,8.75
2006,May,JAL,JAPAN AIRLINES,51,152,336,8.44,8.44
2006,May,FDX,FEDERAL EXPRESS,51,151,338,8.43,8.43
2006,May,NCA,NIPPON CARGO AIRLINES,34,80,425,8.03,8.03
2006,May,AJI,AMERISTAR JET CHARTER,1,2,500,7.68,7.68
2006,May,DDA,D & D AVIATION,3,6,500,7.68,7.68
2006,May,SOO,SOUTHERN AIR,1,2,500,7.68,7.68
2006,May,CLX,CARGOLUX,10,18,556,7.42,7.42
2006,May,ICE,ICELANDAIR,7,9,778,6.39,6.39
2006,May,KAL,KOREAN AIR,107,114,939,5.64,5.64
2006,May,AAR,ASIANA AIRLINES,61,59,1034,5.2,5.20
2006,May,CKS,KALITTA AIR,26,24,1083,4.97,4.97
2006,May,TDX,TRADEWINDS INTERNATIONAL AIRLINES,8,6,1333,3.81,3.81
2006,May,EVA,EVA AIRWAYS,141,101,1396,3.52,3.52
2006,May,SIA,SINGAPORE AIRLINES,175,124,1411,3.45,3.45
2006,May,CAL,CHINA AIRLINES,171,117,1462,3.21,3.21
2006,May,CKK,CHINA CARGO AIRLINES,62,41,1512,2.98,2.98
2006,May,CPA,CATHAY PACIFIC AIRWAYS,182,94,1936,1.01,1.01
2006,May,PAL,PHILIPPINE AIRLINES,152,77,1974,0.84,0.84
2006,May,QFA,QANTAS AIRWAYS,56,26,2154,0,0.00
2006,June,EGF,AMERICAN AIRLINES EAGLE,1,269,4,9.99,9.99
2006,June,SKW,SKYWEST,16,6412,2,9.99,9.99
2006,June,EJA,NETJETS AVIATION,3,485,6,9.98,9.98
2006,June,QXE,HORIZON AIR,2,164,12,9.95,9.95
2006,June,USA,US AIRWAYS,7,554,13,9.95,9.95
2006,June,AWE,US AIRWAYS,9,672,13,9.95,9.95
2006,June,ACA,AIR CANADA,8,531,15,9.94,9.94
2006,June,AAL,AMERICAN AIRLINES,31,2086,15,9.94,9.94
2006,June,ASA,ALASKA AIRLINES,20,1074,19,9.93,9.93
2006,June,ANA,ALL NIPPON AIRWAYS,1,56,18,9.93,9.93
2006,June,TWY,SUNSET AVIATION,1,42,24,9.91,9.91
2006,June,BAW,BRITISH AIRWAYS,3,115,26,9.9,9.90
2006,June,MXA,MEXICANA,4,147,27,9.9,9.90
2006,June,COA,CONTINENTAL AIR LINES,24,846,28,9.89,9.89
2006,June,DAL,DELTA AIRLINES,29,988,29,9.89,9.89
2006,June,FFT,FRONTIER AIRLINES,11,336,33,9.88,9.88
2006,June,AFR,AIR FRANCE,2,56,36,9.87,9.87
2006,June,TRS,AIRTRAN AIRWAYS,7,158,44,9.84,9.84
2006,June,UAL,UNITED AIRLINES,357,8365,43,9.84,9.84
2006,June,NWA,NORTHWEST AIRLINES,40,828,48,9.82,9.82
2006,June,TAI,TACA INTERNATIONAL AIRLINES,4,74,54,9.8,9.80
2006,June,ABX,AIRBORNE EXPRESS,12,131,92,9.66,9.66
2006,June,SCX,SUN COUNTRY,6,58,103,9.62,9.62
2006,June,DLH,LUFTHANSA,17,115,148,9.45,9.45
2006,June,ANZ,AIR NEW ZEALAND,15,57,263,9.03,9.03
2006,June,DHL,DHL,12,42,286,8.94,8.94
2006,June,NCA,NIPPON CARGO AIRLINES,31,86,360,8.66,8.66
2006,June,JAL,JAPAN AIRLINES,59,154,383,8.58,8.58
2006,June,FDX,FEDERAL EXPRESS,62,147,422,8.44,8.44
2006,June,ICE,ICELANDAIR,16,33,485,8.2,8.20
2006,June,JUS,USA JET AIRLINES,1,2,500,8.15,8.15
2006,June,AAR,ASIANA AIRLINES,32,52,615,7.72,7.72
2006,June,CLX,CARGOLUX,11,17,647,7.6,7.60
2006,June,KAL,KOREAN AIR,130,109,1193,5.58,5.58
2006,June,CKK,CHINA CARGO AIRLINES,42,34,1235,5.42,5.42
2006,June,SIA,SINGAPORE AIRLINES,155,115,1348,5.01,5.01
2006,June,EVA,EVA AIRWAYS,145,104,1394,4.84,4.84
2006,June,QFA,QANTAS AIRWAYS,58,40,1450,4.63,4.63
2006,June,CKS,KALITTA AIR,36,24,1500,4.44,4.44
2006,June,CAL,CHINA AIRLINES,184,114,1614,4.02,4.02
2006,June,PAL,PHILIPPINE AIRLINES,128,65,1969,2.71,2.71
2006,June,SOO,SOUTHERN AIR,4,2,2000,2.59,2.59
2006,June,CPA,CATHAY PACIFIC AIRWAYS,179,79,2266,1.61,1.61
2006,June,TDX,TRADEWINDS INTERNATIONAL AIRLINES,54,20,2700,0,0.00
2006,August,EJA,NETJETS AVIATION,1,625,2,9.99,9.99
2006,August,SKW,SKYWEST,16,7091,2,9.99,9.99
2006,August,ACA,AIR CANADA,3,682,4,9.98,9.98
2006,August,EGF,AMERICAN AIRLINES EAGLE,2,290,7,9.97,9.97
2006,August,MEP,MIDWEST AIRLINES,1,124,8,9.97,9.97
2006,August,USA,US AIRWAYS,5,604,8,9.97,9.97
2006,August,AAL,AMERICAN AIRLINES,29,2258,13,9.95,9.95
2006,August,FFT,FRONTIER AIRLINES,8,584,14,9.95,9.95
2006,August,AWE,US AIRWAYS,12,765,16,9.94,9.94
2006,August,ANA,ALL NIPPON AIRWAYS,1,63,16,9.94,9.94
2006,August,SCX,SUN COUNTRY,1,63,16,9.94,9.94
2006,August,ASA,ALASKA AIRLINES,19,1167,16,9.93,9.93
2006,August,MXA,MEXICANA,3,150,20,9.92,9.92
2006,August,TRS,AIRTRAN AIRWAYS,5,231,22,9.91,9.91
2006,August,COA,CONTINENTAL AIR LINES,24,963,25,9.9,9.90
2006,August,DAL,DELTA AIRLINES,31,1013,31,9.88,9.88
2006,August,NWA,NORTHWEST AIRLINES,32,878,36,9.85,9.85
2006,August,KHA,KITTY HAWK AIRCARGO,2,54,37,9.85,9.85
2006,August,UAL,UNITED AIRLINES,356,9442,38,9.85,9.85
2006,August,TAI,TACA INTERNATIONAL AIRLINES,5,91,55,9.78,9.78
2006,August,CCA,AIR CHINA,3,44,68,9.73,9.73
2006,August,ANZ,AIR NEW ZEALAND,5,62,81,9.68,9.68
2006,August,VIR,VIRGIN ATLANTIC,5,62,81,9.68,9.68
2006,August,BAW,BRITISH AIRWAYS,10,118,85,9.66,9.66
2006,August,DLH,LUFTHANSA,13,124,105,9.58,9.58
2006,August,ABX,AIRBORNE EXPRESS,28,194,144,9.42,9.42
2006,August,ICE,ICELANDAIR,5,34,147,9.41,9.41
2006,August,CLX,CARGOLUX,3,18,167,9.33,9.33
2006,August,FWK,FLIGHTWORKS,1,5,200,9.2,9.20
2006,August,JAL,JAPAN AIRLINES,35,149,235,9.06,9.06
2006,August,AAR,ASIANA AIRLINES,12,46,261,8.96,8.96
2006,August,NCA,NIPPON CARGO AIRLINES,20,70,286,8.86,8.86
2006,August,FDX,FEDERAL EXPRESS,59,154,383,8.47,8.47
2006,August,CKK,CHINA CARGO AIRLINES,11,28,393,8.43,8.43
2006,August,KAL,KOREAN AIR,51,115,443,8.23,8.23
2006,August,CKS,KALITTA AIR,23,26,885,6.46,6.46
2006,August,CAL,CHINA AIRLINES,119,114,1044,5.82,5.82
2006,August,EVA,EVA AIRWAYS,121,114,1061,5.75,5.75
2006,August,SIA,SINGAPORE AIRLINES,148,123,1203,5.19,5.19
2006,August,QFA,QANTAS AIRWAYS,51,38,1342,4.63,4.63
2006,August,PAL,PHILIPPINE AIRLINES,124,72,1722,3.11,3.11
2006,August,CPA,CATHAY PACIFIC AIRWAYS,159,91,1747,3.01,3.01
2006,August,TDX,TRADEWINDS INTERNATIONAL AIRLINES,36,17,2118,1.53,1.53
2006,August,POT,POLET AIRLINES CARGO,5,2,2500,0,0.00
2006,September,SKW,SKYWEST,10,6526,2,9.99,9.99
2006,September,EJA,NETJETS AVIATION,1,622,2,9.99,9.99
2006,September,USA,US AIRWAYS,5,575,9,9.96,9.96
2006,September,BAW,BRITISH AIRWAYS,1,114,9,9.96,9.96
2006,September,ACA,AIR CANADA,4,454,9,9.96,9.96
2006,September,TRS,AIRTRAN AIRWAYS,2,186,11,9.96,9.96
2006,September,AWE,US AIRWAYS,11,685,16,9.93,9.93
2006,September,ASA,ALASKA AIRLINES,19,1057,18,9.93,9.93
2006,September,COA,CONTINENTAL AIR LINES,14,774,18,9.93,9.93
2006,September,KHA,KITTY HAWK AIRCARGO,1,43,23,9.9,9.90
2006,September,FFT,FRONTIER AIRLINES,13,527,25,9.9,9.90
2006,September,AAL,AMERICAN AIRLINES,56,2043,27,9.89,9.89
2006,September,UAL,UNITED AIRLINES,263,8474,31,9.87,9.87
2006,September,ANZ,AIR NEW ZEALAND,2,59,34,9.86,9.86
2006,September,DAL,DELTA AIRLINES,26,767,34,9.86,9.86
2006,September,NWA,NORTHWEST AIRLINES,26,716,36,9.85,9.85
2006,September,DLH,LUFTHANSA,11,117,94,9.61,9.61
2006,September,SCX,SUN COUNTRY,6,59,102,9.58,9.58
2006,September,CLX,CARGOLUX,2,18,111,9.54,9.54
2006,September,ICE,ICELANDAIR,3,17,176,9.27,9.27
2006,September,TAI,TACA INTERNATIONAL AIRLINES,9,48,188,9.23,9.23
2006,September,ABX,AIRBORNE EXPRESS,34,169,201,9.17,9.17
2006,September,JAL,JAPAN AIRLINES,35,149,235,9.03,9.03
2006,September,NCA,NIPPON CARGO AIRLINES,27,85,318,8.69,8.69
2006,September,FDX,FEDERAL EXPRESS,55,140,393,8.38,8.38
2006,September,AAR,ASIANA AIRLINES,20,46,435,8.21,8.21
2006,September,SOO,SOUTHERN AIR,1,2,500,7.94,7.94
2006,September,KAL,KOREAN AIR,57,89,640,7.36,7.36
2006,September,CAL,CHINA AIRLINES,78,106,736,6.97,6.97
2006,September,EVA,EVA AIRWAYS,98,101,970,6.01,6.01
2006,September,CKK,CHINA CARGO AIRLINES,27,25,1080,5.55,5.55
2006,September,SIA,SINGAPORE AIRLINES,128,115,1113,5.42,5.42
2006,September,CKS,KALITTA AIR,27,24,1125,5.37,5.37
2006,September,CPA,CATHAY PACIFIC AIRWAYS,121,84,1440,4.07,4.07
2006,September,PAL,PHILIPPINE AIRLINES,96,58,1655,3.19,3.19
2006,September,QFA,QANTAS AIRWAYS,51,26,1962,1.92,1.92
2006,September,TDX,TRADEWINDS INTERNATIONAL AIRLINES,34,14,2429,0,0.00
2006,October,SKW,SKYWEST,12,6871,2,9.99,9.99
2006,October,EGF,AMERICAN AIRLINES EAGLE,1,289,3,9.98,9.98
2006,October,OPT,FLIGHT OPTIONS,1,213,5,9.98,9.98
2006,October,TRS,AIRTRAN AIRWAYS,1,170,6,9.97,9.97
2006,October,USA,US AIRWAYS,5,594,8,9.96,9.96
2006,October,COA,CONTINENTAL AIR LINES,11,784,14,9.94,9.94
2006,October,ANA,ALL NIPPON AIRWAYS,1,62,16,9.93,9.93
2006,October,BAW,BRITISH AIRWAYS,2,122,16,9.93,9.93
2006,October,ACA,AIR CANADA,7,420,17,9.92,9.92
2006,October,NKS,SPIRIT AIRLINES,1,60,17,9.92,9.92
2006,October,ASQ,ATLANTIC SOUTHEAST AIRLINES,1,59,17,9.92,9.92
2006,October,ASA,ALASKA AIRLINES,22,1124,20,9.91,9.91
2006,October,AWE,US AIRWAYS,15,714,21,9.9,9.90
2006,October,DAL,DELTA AIRLINES,16,749,21,9.9,9.90
2006,October,NWA,NORTHWEST AIRLINES,22,725,30,9.86,9.86
2006,October,ANZ,AIR NEW ZEALAND,2,58,34,9.84,9.84
2006,October,FFT,FRONTIER AIRLINES,20,565,35,9.84,9.84
2006,October,UAL,UNITED AIRLINES,314,8780,36,9.84,9.84
2006,October,AAL,AMERICAN AIRLINES,81,2124,38,9.83,9.83
2006,October,CCA,AIR CHINA,2,44,45,9.79,9.79
2006,October,KHA,KITTY HAWK AIRCARGO,3,42,71,9.67,9.67
2006,October,DLH,LUFTHANSA,9,122,74,9.66,9.66
2006,October,WWI,WORLDWIDE JET CHARTER,1,10,100,9.54,9.54
2006,October,SCX,SUN COUNTRY,6,59,102,9.54,9.54
2006,October,CLX,CARGOLUX,2,16,125,9.43,9.43
2006,October,TAI,TACA INTERNATIONAL AIRLINES,8,50,160,9.27,9.27
2006,October,ABX,AIRBORNE EXPRESS,32,153,209,9.05,9.05
2006,October,JAL,JAPAN AIRLINES,37,150,247,8.87,8.87
2006,October,AAR,ASIANA AIRLINES,14,44,318,8.55,8.55
2006,October,NCA,NIPPON CARGO AIRLINES,29,91,319,8.55,8.55
2006,October,FDX,FEDERAL EXPRESS,62,144,431,8.04,8.04
2006,October,GTI,ATLAS AIR,1,2,500,7.72,7.72
2006,October,KAL,KOREAN AIR,46,92,500,7.72,7.72
2006,October,CKK,CHINA CARGO AIRLINES,27,37,730,6.67,6.67
2006,October,CKS,KALITTA AIR,30,30,1000,5.44,5.44
2006,October,EVA,EVA AIRWAYS,110,105,1048,5.22,5.22
2006,October,CAL,CHINA AIRLINES,120,109,1101,4.98,4.98
2006,October,SIA,SINGAPORE AIRLINES,146,120,1217,4.45,4.45
2006,October,TDX,TRADEWINDS INTERNATIONAL AIRLINES,15,11,1364,3.78,3.78
2006,October,CPA,CATHAY PACIFIC AIRWAYS,142,89,1596,2.72,2.72
2006,October,PAL,PHILIPPINE AIRLINES,117,65,1800,1.79,1.79
2006,October,SOO,SOUTHERN AIR,4,2,2000,0.88,0.88
2006,October,QFA,QANTAS AIRWAYS,57,26,2192,0,-0.00
2006,November,EJA,NETJETS AVIATION,1,611,2,9.99,9.99
2006,November,SKW,SKYWEST,11,6479,2,9.99,9.99
2006,November,EGF,AMERICAN AIRLINES EAGLE,1,222,5,9.98,9.98
2006,November,USA,US AIRWAYS,3,518,6,9.97,9.97
