Year,Month,Community,Total Complaints,Total Number of Callers
2018,1,Brisbane,3595,38
2018,2,Atherton,481,5
2018,2,Moraga,378,1
2018,4,San Francisco,5474,41
2018,6,Lafayette,494,1
2018,1,Half Moon Bay,573,4
2018,7,Hayward,5,1
2018,1,Burlingame,435,3
2018,2,Soquel,1454,67
2018,8,Woodside,1367,13
2018,7,Millbrae,10,3
2018,7,Los Altos Hills,9651,36
2018,2,Brookdale,18,2
2018,1,Belmont,911,7
2018,4,Morgan Hill,643,2
2018,6,Atherton,939,5
2018,7,Oakland,8707,38
2018,2,East Palo Alto,49,2
2018,8,Aptos,526,13
2018,5,San Jose,14,1
2018,2,Los Altos,20392,155
2018,3,South San Francisco,436,13
2018,5,Millbrae,2,1
2018,5,Scotts Valley,14511,92
2018,4,Ben Lomond,445,13
2018,4,Sunnyvale,205,11
2018,2,Ben Lomond,589,20
2018,5,Fremont,30,1
2018,5,Palo Alto,56735,253
2018,8,Belmont,410,8
2018,1,Felton,698,11
2018,4,Felton,892,21
2018,7,Berkeley,306,4
2018,6,Morgan Hill,138,2
2018,2,Belmont,882,8
2018,5,San Mateo,1393,11
2018,3,Santa Clara,37,1
2018,8,Watsonville,273,1
2018,3,Brisbane,3669,30
2018,6,El Cerrito,2,2
2018,3,Portola Valley,7497,40
2018,6,Cupertino,599,2
2018,1,South San Francisco,943,13
2018,4,Fremont,28,1
2018,8,Richmond,21,1
2018,8,Union City,53,1
2018,1,Los Altos Hills,8471,27
2018,2,Hayward,11,2
2018,3,Lafayette,442,1
2018,4,Belmont,749,5
2018,8,Moraga,117,3
2018,4,Woodside,1637,12
2018,3,San Bruno,350,10
2018,1,Woodside,1305,14
2018,1,Carmel,213,2
2018,5,South San Francisco,85,17
2018,6,East Palo Alto,24,2
2018,2,Sacramento,2,2
2018,7,Moraga,177,3
2018,6,Berkeley,170,4
2018,7,Cupertino,496,2
2018,8,Capitola,2663,25
2018,3,Brookdale,16,2
2018,5,Lafayette,175,1
2018,6,Pacifica,5024,45
2018,1,San Mateo,534,9
2018,7,Bonny Doon,201,4
2018,1,Fremont,39,2
2018,2,Carmel,91,2
2018,4,Los Gatos,28141,154
2018,1,Orinda,294,1
2018,8,Cupertino,363,1
2018,7,Daly City,692,6
2018,5,Portola Valley,10406,43
2018,6,Aptos,325,12
2018,2,Mountain View,7470,60
2018,6,Daly City,1185,10
2018,2,Berkeley,9,2
2018,7,San Francisco,3342,31
2018,1,Palo Alto,57543,232
2018,5,Atherton,515,7
2018,1,Hayward,1,1
2018,3,Menlo Park,2595,29
2018,5,Los Altos,27988,190
2018,8,Orinda,30,1
2018,3,Mount Hermon,2,1
2018,5,Carmel,286,4
2018,8,San Jose,11,2
2018,3,Los Altos,28338,186
2018,3,Alameda,33,3
2018,8,Atherton,598,6
2018,3,La Selva Beach,34,1
2018,4,Soquel,9857,97
2018,7,Pacifica,4943,46
2018,6,Los Gatos,19068,145
2018,4,Hayward,1,1
2018,8,Fremont,12,2
2018,4,Foster City,603,11
2018,1,Millbrae,3,3
2018,1,Lafayette,29,1
2018,6,Soquel,6139,86
2018,4,San Bruno,492,6
2018,7,Redwood City,1725,13
2018,8,San Mateo,1026,23
2018,8,San Carlos,128,2
2018,1,Portola Valley,6905,37
2018,6,Alameda,31,1
2018,8,Brisbane,2620,23
2018,1,Moraga,339,1
2018,4,Half Moon Bay,1000,8
2018,1,Ben Lomond,165,4
2018,4,El Granada,222,3
2018,3,San Jose,92,1
2018,7,Atherton,988,5
2018,4,Los Altos Hills,8961,32
2018,2,Watsonville,179,1
2018,6,Castro Valley,7,1
2018,3,Felton,1558,40
2018,1,Boulder Creek,168,5
2018,5,Alameda,40,1
2018,2,San Bruno,459,6
2018,3,Carmel,112,2
2018,8,Alameda,10,1
2018,7,Los Altos,23589,176
2018,5,Pacifica,8581,60
2018,5,Foster City,587,10
2018,8,Redwood City,1619,16
2018,1,Los Altos,26840,172
2018,6,Capitola,2666,20
2018,2,San Carlos,7,2
2018,4,Los Altos,28287,180
2018,2,Bonny Doon,199,2
2018,1,El Granada,2,1
2018,8,Pacifica,4203,32
2018,1,Scotts Valley,12824,78
2018,3,Scotts Valley,13259,95
2018,5,Redwood City,2415,14
2018,8,Soquel,8576,85
2018,5,Hillsborough,6,5
2018,8,Los Altos Hills,9801,31
2018,2,Daly City,1012,9
2018,5,Berkeley,952,6
2018,2,Aptos,240,17
2018,8,East Palo Alto,12,3
2018,3,Boulder Creek,1582,28
2018,4,Capitola,4060,23
2018,5,Oakland,8258,37
2018,3,Woodside,1234,13
2018,1,Oakland,9621,30
2018,8,Scotts Valley,13778,79
2018,5,San Bruno,257,8
2018,4,Mountain View,5285,60
2018,6,Mountain View,5634,70
2018,7,Fremont,16,1
2018,5,San Francisco,5855,39
2018,1,San Francisco,5408,39
2018,3,Redwood City,1832,16
2018,2,Half Moon Bay,535,6
2018,3,Fremont,25,2
2018,1,Capitola,2762,22
2018,5,El Granada,730,2
2018,6,Los Altos,24241,173
2018,3,Burlingame,620,11
2018,2,La Selva Beach,6,1
2018,4,Berkeley,49,6
2018,3,Aptos,1044,16
2018,7,South San Francisco,28,9
2018,3,San Carlos,15,3
2018,2,Palo Alto,46250,227
2018,3,Ben Lomond,687,22
2018,1,San Carlos,3,2
2018,4,Hillsborough,2,1
2018,7,Santa Cruz,27440,140
2018,2,Saratoga,338,8
2018,8,Felton,1059,15
2018,8,Sunnyvale,277,9
2018,4,Richmond,1,1
2018,1,Pacifica,7047,53
2018,8,Half Moon Bay,133,4
2018,6,El Sobrante,2,1
2018,5,Saratoga,935,9
2018,6,San Carlos,3,2
2018,4,Atherton,707,7
2018,1,Aptos,966,13
2018,6,Belmont,630,4
2018,7,Pinole,1,1
2018,4,Brisbane,3897,30
2018,6,Orinda,103,1
2018,6,South San Francisco,62,12
2018,6,Sunnyvale,573,13
2018,4,East Palo Alto,68,2
2018,4,Alameda,13,1
2018,3,Belmont,879,7
2018,6,Santa Cruz,15715,131
2018,6,Half Moon Bay,259,9
2018,4,Millbrae,3,3
2018,4,San Jose,24,1
2018,7,Half Moon Bay,382,9
2018,2,Los Altos Hills,10944,36
2018,2,Albany,1,1
2018,6,Oakland,7178,29
2018,7,Watsonville,261,1
2018,4,Aptos,1005,15
2018,3,Piedmont,5,1
2018,2,Santa Cruz,8725,163
2018,6,San Bruno,423,6
2018,3,Orinda,643,1
2018,3,San Mateo,866,14
2018,5,Menlo Park,1771,28
2018,8,Palo Alto,53751,226
2018,5,San Carlos,22,2
2018,6,Woodside,1356,12
2018,8,Carmel,225,3
2018,2,El Granada,106,1
2018,7,Saratoga,770,9
2018,5,El Sobrante,8,1
2018,5,Orinda,228,1
2018,6,Los Altos Hills,9129,32
2018,1,Alameda,3,2
2018,4,Scotts Valley,15159,92
2018,1,Morgan Hill,720,2
2018,8,La Selva Beach,34,1
2018,1,Cupertino,939,3
2018,5,Los Altos Hills,9146,34
2018,4,Santa Cruz,25475,159
2018,3,Cupertino,1081,3
2018,4,Lafayette,144,2
2018,6,Watsonville,194,2
2018,2,San Jose,18,2
2018,1,Atherton,511,8
2018,2,Los Gatos,11018,143
2018,4,Pacifica,7194,61
2018,5,Brisbane,2893,33
2018,6,Menlo Park,1787,20
2018,3,Capitola,3460,26
2018,6,Richmond,52,1
2018,4,Daly City,1255,8
2018,5,Felton,1252,26
2018,8,Lafayette,2,1
2018,5,Boulder Creek,860,17
2018,5,Burlingame,132,6
2018,5,Morgan Hill,292,2
2018,8,Morgan Hill,72,2
2018,2,Pacifica,6753,53
2018,5,Bonny Doon,261,4
2018,7,San Jose,25,4
2018,4,Menlo Park,2069,24
2018,5,East Palo Alto,35,3
2018,2,Felton,4300,64
2018,3,East Palo Alto,27,2
2018,4,Orinda,192,1
2018,8,South San Francisco,105,16
2018,2,Millbrae,5,5
2018,2,Lafayette,202,2
2018,6,Scotts Valley,9469,82
2018,3,Palo Alto,57528,244
2018,1,Brookdale,4,1
2018,7,Scotts Valley,16900,82
2017,9,Scotts Valley,16588,98
2017,12,Daly City,6,575
2017,12,Fremont,1,29
2017,12,Union City,1,92
2017,12,Brisbane,28,2894
2017,12,San Mateo,13,333
2017,12,Bonny Doon,2,24
2017,12,Los Altos,169,16843
2017,12,Morgan Hill,2,731
2017,12,Boulder Creek,3,63
2017,12,Felton,10,253
2017,12,Cupertino,1,184
2017,12,Foster City,7,260
2017,12,Menlo Park,22,1728
2017,12,Oakland,27,6015
2017,12,Half Moon Bay,3,433
2017,12,Hayward,1,2
2017,12,Scotts Valley,77,9090
2017,12,Alameda,1,2
2017,12,Millbrae,4,11
2017,12,Pacifica,42,3965
2017,12,South San Francisco,9,313
2017,12,Ben Lomond,2,37
2017,12,Mountain View,47,11065
2017,12,Woodside,11,601
2017,12,Watsonville,1,155
2017,12,Lafayette,1,110
2017,12,Redwood City,12,1593
2017,12,Atherton,5,419
2017,12,Carmel,2,73
2017,12,San Francisco,33,3044
2017,12,Orinda,1,289
2017,12,East Palo Alto,2,14
2017,12,Burlingame,7,762
2017,12,San Jose,1,5
2017,12,Hillsborough,1,1
2017,12,Belmont,5,653
2017,12,Sunnyvale,12,101
2017,12,Palo Alto,213,40859
2017,12,Soquel,84,5132
2017,12,Aptos,12,493
2017,12,Santa Cruz,125,14879
2017,12,Los Altos Hills,25,7159
2017,12,Portola Valley,33,5507
2017,12,Los Gatos,147,15703
2017,12,Capitola,16,1684
2017,12,Moraga,1,120
2017,12,Saratoga,9,853
2017,12,San Bruno,4,83
2017,12,Berkeley,1,6
2017,6,Brisbane,4045,41
2017,4,Berkeley,543,6
2017,8,Brisbane,2641,43
2017,5,San Bruno,69,4
2017,1,Palo Alto,50447,298
2017,9,San Leandro,7,2
2017,1,Brentwood,40,1
2017,3,Belmont,1682,7
2017,9,Menlo Park,2170,27
2017,1,Scotts Valley,8312,83
2017,8,Mill Valley,1,1
2017,11,Morgan Hill,842,2
2017,4,Pacifica,7589,58
2017,5,Capitola,2860,21
2017,7,Los Altos Hills,7857,40
2017,9,San Carlos,77,4
2017,2,Felton,257,9
2017,1,Hillsborough,125,20
2017,3,Scotts Valley,15012,91
2017,10,Lafayette,234,1
2017,1,East Palo Alto,12,3
2017,8,East Palo Alto,10,2
2017,1,Lafayette,1,1
2017,5,Monte Sereno,142,1
2017,11,Santa Clara,8,1
2017,7,San Jose,13,1
2017,9,Bonny Doon,165,5
2017,9,San Geronimo,1,1
2017,10,Ben Lomond,62,2
2017,10,Millbrae,86,6
2017,11,Daly City,1758,10
2017,7,Sunnyvale,519,20
2017,10,San Carlos,211,3
2017,1,Belvedere-Tiburon,1,1
2017,11,Saratoga,827,12
2017,3,Cupertino,1540,5
2017,4,Half Moon Bay,555,10
2017,10,San Bruno,305,5
2017,9,Martinez,1,1
2017,2,El Cerrito,1,1
2017,7,Menlo Park,2046,27
2017,11,Scotts Valley,13083,86
2017,6,Belmont,1130,5
2017,11,San Francisco,5451,48
2017,5,Los Gatos,33275,163
2017,9,Saratoga,1642,12
2017,4,Soquel,9172,91
2017,5,Saratoga,883,11
2017,11,Aptos,1342,17
2017,4,San Francisco,2494,50
2017,4,Hillsborough,4,2
2017,6,San Francisco,4108,48
2017,11,San Mateo,377,14
2017,7,Saratoga,1270,13
2017,3,Menlo Park,4831,41
2017,10,Belmont,544,3
2017,1,San Mateo,3199,37
2017,7,Santa Cruz,25395,139
2017,10,Sunnyvale,382,17
2017,1,Ben Lomond,77,2
2017,7,Watsonville,231,1
2017,10,Scotts Valley,9192,89
2017,7,Brisbane,3081,43
2017,6,Moraga,294,2
2017,8,Portola Valley,10640,59
2017,1,Moraga,5,2
2017,4,Brentwood,1,1
2017,3,Moraga,236,3
2017,8,Brookdale,4,1
2017,2,East Palo Alto,18,4
2017,3,Los Gatos,32216,154
2017,10,San Jose,10,3
2017,1,Pacifica,9545,63
2017,11,Felton,344,10
2017,6,San Jose,26,1
2017,7,Fremont,21,1
2017,2,Boulder Creek,61,4
2017,8,Daly City,1993,7
2017,8,Santa Cruz,25935,148
2017,3,Oakland,13848,62
2017,7,East Palo Alto,180,3
2017,2,Daly City,2772,15
2017,11,Belmont,1150,5
2017,2,San Leandro,129,1
2017,2,Capitola,2017,20
2017,11,Los Gatos,26243,168
2017,3,Watsonville,205,2
2017,8,Mountain View,6500,66
2017,9,Aptos,1621,17
2017,1,Saratoga,1228,18
2017,11,Capitola,2659,19
2017,6,Ben Lomond,131,4
2017,7,Boulder Creek,198,4
2017,1,San Carlos,52,6
2017,4,Lafayette,160,2
2017,8,Los Gatos,36597,181
2017,9,San Mateo,943,17
2017,8,Burlingame,1247,24
2017,5,Watsonville,191,1
2017,7,Belmont,596,3
2017,10,Boulder Creek,78,5
2017,10,Los Altos Hills,7870,30
2017,6,Burlingame,165,8
2017,11,Carmel Valley,209,2
2017,6,Carmel Valley,228,2
2017,5,Lafayette,64,2
2017,9,Lafayette,397,1
2017,2,Los Gatos,14770,143
2017,4,Atherton,250,7
2017,3,Berkeley,343,8
2017,1,Carmel Valley,213,1
2017,2,Richmond,358,1
2017,5,Palo Alto,58725,288
2017,5,Los Altos,30881,241
2017,11,Lafayette,32,1
2017,4,San Bruno,7,2
2017,9,Hillsborough,43,4
2017,2,Half Moon Bay,551,10
2017,2,Los Altos Hills,6343,37
2017,2,Saratoga,1134,15
2017,2,Oakland,10455,69
2017,5,Belmont,1419,5
2017,4,Cupertino,1470,6
2017,4,Woodside,1733,23
2017,3,San Francisco,3885,64
2017,8,San Mateo,1189,22
2017,8,Watsonville,250,1
2017,10,Atherton,452,7
2017,2,Moraga,4,2
2017,1,San Jose,1227,2
2017,3,Foster City,880,13
2017,6,Millbrae,6,3
2017,1,Fremont,10,1
2017,4,East Palo Alto,32,2
2017,11,Oakland,11370,38
2017,1,Aptos,418,11
2017,1,Morgan Hill,336,2
2017,11,Richmond,1,1
2017,11,Half Moon Bay,649,5
2017,5,San Jose,48,5
2017,4,Mountain View,12738,82
2017,10,Redwood City,1607,14
2017,11,Los Altos,29854,209
2017,8,Redwood City,3606,21
2017,9,Alameda,45,3
2017,1,Sunnyvale,4187,49
2017,1,Foster City,669,14
2017,3,Woodside,1664,24
2017,9,Burlingame,1364,12
2017,11,San Jose,57,3
2017,9,Brookdale,4,1
2017,9,Orinda,499,1
2017,7,Woodside,2184,25
2017,6,Foster City,826,13
2017,9,Watsonville,207,1
2017,2,Santa Clara,3,2
2017,1,Los Altos Hills,8405,39
2017,1,Boulder Creek,127,4
2017,2,Watsonville,86,3
2017,1,Colma,24,1
2017,6,Oakland,11742,49
2017,3,Hillsborough,2,2
2017,9,Redwood City,2144,18
2017,10,Aptos,440,13
2017,8,Palo Alto,62459,299
2017,4,Brisbane,5462,45
2017,5,Soquel,8080,94
2017,8,Morgan Hill,951,2
2017,4,Carmel Valley,203,2
2017,4,Moraga,393,2
2017,11,Palo Alto,60552,259
2017,8,Oakland,10983,39
2017,10,Oakland,8796,36
