Year,Month,Community,Total Complaints,Total Number of Callers
2018,6,Boulder Creek,389.0,8.0
2018,7,Woodside,1538.0,15.0
2018,7,Menlo Park,1952.0,19.0
2018,4,Carmel,366.0,4.0
2018,8,Foster City,112.0,14.0
2018,6,Brookdale,1.0,1.0
2018,8,Ben Lomond,168.0,10.0
2018,4,Portola Valley,7702.0,39.0
2018,5,Watsonville,260.0,1.0
2018,8,Hillsborough,202.0,18.0
2018,6,Bonny Doon,167.0,4.0
2018,2,Scotts Valley,5971.0,92.0
2018,3,Santa Cruz,24142.0,159.0
2018,2,San Francisco,3302.0,35.0
2018,3,Soquel,9420.0,100.0
2018,7,Mountain View,4281.0,56.0
2018,7,Felton,1525.0,17.0
2018,6,Redwood City,1595.0,15.0
2018,4,South San Francisco,97.0,8.0
2018,8,San Francisco,3283.0,35.0
2018,6,Felton,1139.0,14.0
2018,3,Atherton,853.0,8.0
2018,7,Hillsborough,138.0,11.0
2018,1,San Bruno,295.0,11.0
2018,8,Los Gatos,22524.0,154.0
2018,1,Bonny Doon,75.0,2.0
2018,2,Castro Valley,24.0,1.0
2018,7,Piedmont,2.0,1.0
2018,7,East Palo Alto,5.0,1.0
2018,2,Fremont,34.0,1.0
2018,1,Redwood City,2188.0,12.0
2018,1,Berkeley,78.0,5.0
2018,4,San Mateo,1160.0,9.0
2018,4,Moraga,594.0,2.0
2018,4,San Leandro,188.0,1.0
2018,2,Mount Hermon,1.0,1.0
2018,1,Brisbane,3595.0,38.0
2018,2,Atherton,481.0,5.0
2018,2,Moraga,378.0,1.0
2018,4,San Francisco,5474.0,41.0
2018,6,Lafayette,494.0,1.0
2018,1,Half Moon Bay,573.0,4.0
2018,7,Hayward,5.0,1.0
2018,1,Burlingame,435.0,3.0
2018,2,Soquel,1454.0,67.0
2018,8,Woodside,1367.0,13.0
2018,7,Millbrae,10.0,3.0
2018,7,Los Altos Hills,9651.0,36.0
2018,2,Brookdale,18.0,2.0
2018,1,Belmont,911.0,7.0
2018,4,Morgan Hill,643.0,2.0
2018,6,Atherton,939.0,5.0
2018,7,Oakland,8707.0,38.0
2018,2,East Palo Alto,49.0,2.0
2018,8,Aptos,526.0,13.0
2018,5,San Jose,14.0,1.0
2018,2,Los Altos,20392.0,155.0
2018,3,South San Francisco,436.0,13.0
2018,5,Millbrae,2.0,1.0
2018,5,Scotts Valley,14511.0,92.0
